Election,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
SENATE 1st Round Election,NORD EST,Nov-16,Renan Etienne,LAPEH,"1,987",2.8,,,,
SENATE 1st Round Election,NORD EST,Nov-16,Mona Eliacint Leandre,RDNP,511,0.7,,,,
SENATE 1st Round Election,NORD EST,Nov-16,Gaston Saint Fleur,Fusion,270,0.4,,,,
SENATE 1st Round Election,NORD EST,Nov-16,,,,,,,,
SENATE 1st Round Election,NORD OUEST,Nov-16,Kedlaire AUGUSTIN,PHTK,"21,392",33.6,,,,
SENATE 1st Round Election,NORD OUEST,Nov-16,Francois Lucas Sainvil,Mosanoh,"10,049",15.8,,,,
SENATE 1st Round Election,NORD OUEST,Nov-16,Elie Nicolas Plancher,OPL,"8,945",14.1,,,,
SENATE 1st Round Election,NORD OUEST,Nov-16,Jean Fritznel Bellefleur,RDNP,"7,168",11.3,,,,
SENATE 1st Round Election,NORD OUEST,Nov-16,Jean-Gary Sanon,Fusion,"6,515",10.2,,,,
SENATE 1st Round Election,NORD OUEST,Nov-16,Pierre Martin Tatoute,Verite,"3,193",5,,,,
SENATE 1st Round Election,NORD OUEST,Nov-16,3 others,,"5,654",8.9,,,,
SENATE 1st Round Election,NORD OUEST,Nov-16,,,,,,,,
SENATE 1st Round Election,OUEST,Nov-16,Fednel Monchery,PHTK,"78,172",21.7,,,,
SENATE 1st Round Election,OUEST,Nov-16,Pierre Paul Patrice Dumont,RPH,"67,194",18.7,,,,
SENATE 1st Round Election,OUEST,Nov-16,Louis Gerald Gilles,Fanmi Lavalas,"40,596",11.3,,,,
SENATE 1st Round Election,OUEST,Nov-16,Alix Didier Fils-Aime,Verite,"40,232",11.2,,,,
SENATE 1st Round Election,OUEST,Nov-16,Jean Myrtho Muraille,PD,"31,406",8.7,,,,
SENATE 1st Round Election,OUEST,Nov-16,Arnel Belizaire,APLA,"26,095",7.3,,,,
SENATE 1st Round Election,OUEST,Nov-16,Jean Adler Gaston,Concorde,"16,917",4.7,,,,
SENATE 1st Round Election,OUEST,Nov-16,Michel Andre,RDNP,"14,260",4,,,,
SENATE 1st Round Election,OUEST,Nov-16,12 others,,"37,820",10.5,,,,
SENATE 1st Round Election,OUEST,Nov-16,,,,,,,,
SENATE 1st Round Election,SUD,Nov-16,Pierre Francois SILDOR,PHTK,"21,683",25.5,,,,
SENATE 1st Round Election,SUD,Nov-16,Fritz Carlos Lebon,Fanmi Lavalas,"21,532",25.3,,,,
SENATE 1st Round Election,SUD,Nov-16,Pierre Franky Exius,LAPEH,"17,591",20.7,,,,
SENATE 1st Round Election,SUD,Nov-16,Yvon Buissereth,Verite,"6,970",8.2,,,,
SENATE 1st Round Election,SUD,Nov-16,Gandhy Dorfeuille,APLA,"4,420",5.2,,,,
SENATE 1st Round Election,SUD,Nov-16,Anthony Gedeon,OPL,"4,220",5,,,,
SENATE 1st Round Election,SUD,Nov-16,3 others,,"7,533",8.9,,,,
SENATE 1st Round Election,SUD,Nov-16,,,,,,,,
SENATE 1st Round Election,SUD EST,Nov-16,Joseph LAMBERT,KONA,"44,131",53.8,,,,
SENATE 1st Round Election,SUD EST,Nov-16,Hebert Lahatte,KID,"15,922",19.4,,,,
SENATE 1st Round Election,SUD EST,Nov-16,Jacques Roderich Ladouceur,PD,"10,331",12.6,,,,
SENATE 1st Round Election,SUD EST,Nov-16,Miralda Jameau,Fanmi Lavalas,"2,820",3.4,,,,
SENATE 1st Round Election,SUD EST,Nov-16,Marie Sylvia Fabien Moise,MOPANOU,"2,279",2.8,,,,
SENATE 1st Round Election,SUD EST,Nov-16,Joissaint Ephesien,Verite,"2,146",2.6,,,,
SENATE 1st Round Election,SUD EST,Nov-16,3 others,,"3,768",4.6,,,,
SENATE 1st Round Election,SUD EST,Nov-16,,,,,,,,
SENATE 1st Round Election,SUD EST,Nov-16,,,,,,,,
SENATE 1st Round Election,SUD EST,Nov-16,,,,,,,Senate elections from 2015,http://psephos.adam-carr.net/countries/h/haiti/haiti20163.txt
SENATE 1st Round Election,SUD EST,Nov-16,,,,,,,,
Senate 2nd Round Election,CENTRE,Nov-16,Willot JOSEPH,PHTK,,,"50,626",38.9,,
Senate 2nd Round Election,CENTRE,Nov-16,Wilfrid GELIN,PHTK,,,"31,115",23.9,,
Senate 2nd Round Election,CENTRE,Nov-16,Jean Junior Jiha,Bouclier,,,"24,783",19,,
Senate 2nd Round Election,CENTRE,Nov-16,Gregory Chevry,LAPEH,,,"23,754",18.2,,
Senate 2nd Round Election,CENTRE,Nov-16,,,,,,,,
Senate 2nd Round Election,GRAND ANSE,Nov-16,Guy PHILIPPE,Consortium,,,"33,943",,,
Senate 2nd Round Election,GRAND ANSE,Nov-16,Sorel JACINTHE,Inite,,,"28,368",,,
Senate 2nd Round Election,GRAND ANSE,Nov-16,Michel Clerie,PHTK,,,,,,
Senate 2nd Round Election,GRAND ANSE,Nov-16,Jean Maxime Roumer,Bouclier,,,,,,
Senate 2nd Round Election,GRAND ANSE,Nov-16,,,,,,,,
Senate 2nd Round Election,NORD,Nov-16,Dieudonne Etienne LUMA,PHTK,,,"90,617",34.9,,
Senate 2nd Round Election,NORD,Nov-16,Nawoon MARCELLUS,Bouclier,,,"80,942",31.2,,
Senate 2nd Round Election,NORD,Nov-16,Kely C Bastien,Verite,,,"52,976",20.4,,
Senate 2nd Round Election,NORD,Nov-16,Justin Metelus,Bouclier,,,"33,932",13.1,,
Senate 2nd Round Election,NORD,Nov-16,,,,,,,,
Senate 2nd Round Election,NORD,Nov-16,,,,,,,,
Senate 2nd Round Election,NORD,Nov-16,,,,,,,Chamber of Deputies elections from 2015,http://psephos.adam-carr.net/countries/h/haiti/haiti20164.txt
CHAMBER OF DEPUTIES (SECOND ROUND),ARTIBONITE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),ARTIBONITE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),DESDUNES,Nov-16,Baudelaire NOELSAINT,OPL,,,"4,089",57.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),DESDUNES,Nov-16,Isaac Ceus,AAA,,,"2,990",42.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),DESDUNES,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),PETITE RIVIERE DE L'ARTIBONITE,Nov-16,Prophane VICTOR,Bouclier,,,"6,737",54.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),PETITE RIVIERE DE L'ARTIBONITE,Nov-16,Louiner Fontil,AAA,,,"5,570",44.8,,
CHAMBER OF DEPUTIES (SECOND ROUND),PETITE RIVIERE DE L'ARTIBONITE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAINT MARC,Nov-16,Samuel D’HAITI,KONA,,,"17,507",66.3,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAINT MARC,Nov-16,Jean-Hughes Narcisse,KID,,,"8,916",33.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAINT MARC,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),VERRETTES,Nov-16,Gerard Paul LORMEUS,PLK,,,"8,999",58.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),VERRETTES,Nov-16,Josnem Laurent,Inite,,,"6,366",41.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),VERRETTES,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CENTRE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CENTRE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),BOUCAN CARRE,Nov-16,Jude JEAN,PHTK,,,"3,601",53.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),BOUCAN CARRE,Nov-16,Erinece Saint Jean,OPL,,,"3,163",46.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),BOUCAN CARRE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAVANETTE-QUARTIER BAPTISTE,Nov-16,Guerda B ALEXANDRE,APLA,,,"2,244",52,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAVANETTE-QUARTIER BAPTISTE,Nov-16,Dieunoit Duperme,OPL,,,"2,071",48,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAVANETTE-QUARTIER BAPTISTE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRAND ANSE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRAND ANSE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),JEREMIE,Nov-16,St Jean Marie G LUNDY,Bouclier,,,"8,423",53.9,,
CHAMBER OF DEPUTIES (SECOND ROUND),JEREMIE,Nov-16,Jean Gustave Lorreus,Consortium,,,"7,192",46.1,,
CHAMBER OF DEPUTIES (SECOND ROUND),JEREMIE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),NORD,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),NORD,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),ACUL DU NORD,Nov-16,Rodney CHARLES,PD,,,"4,808",54,,
CHAMBER OF DEPUTIES (SECOND ROUND),ACUL DU NORD,Nov-16,Henry J H Milfort,Verite,,,"4,091",46,,
CHAMBER OF DEPUTIES (SECOND ROUND),ACUL DU NORD,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),DONDON,Nov-16,Hermogene DANIEL,Fusion,,,"2,580",54.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),DONDON,Nov-16,Harrold Chery,PHTK,,,"2,134",45.3,,
CHAMBER OF DEPUTIES (SECOND ROUND),DONDON,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRANDE RIVIERE DU NORD-BAHON,Nov-16,Jacques JULMICE,Verite,,,"6,565",55.5,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRANDE RIVIERE DU NORD-BAHON,Nov-16,Ocinjac Benjamin,PHTK,,,"5,268",44.5,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRANDE RIVIERE DU NORD-BAHON,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),PLAISANCE,Nov-16,Audne ALCIDE,Verite,,,"4,554",52.3,,
CHAMBER OF DEPUTIES (SECOND ROUND),PLAISANCE,Nov-16,Renaud Jean Baptiste,PHTK,,,"4,149",47.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),PLAISANCE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT MARGOT,Nov-16,Philome Hilaire FANFAN,PHTK,,,"4,808",59.1,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT MARGOT,Nov-16,Tholeme S Joseph,PD,,,"3,327",40.9,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT MARGOT,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAINT RAPHAEL,Nov-16,Jean-Wilfrid BORGELLA,PHTK,,,"4,622",59.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAINT RAPHAEL,Nov-16,Bener Sissoir,PD,,,"3,192",40.8,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAINT RAPHAEL,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),NORD OUEST,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),NORD OUEST,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),MOLE SAINT-NICOLAS,Nov-16,Yves DUPRAS,Verite,,,"4,413",58.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),MOLE SAINT-NICOLAS,Nov-16,Eloune Doreus,OPL,,,"3,120",41.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),MOLE SAINT-NICOLAS,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),OUEST,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),OUEST,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),ARCAHAIE,Nov-16,Pierre Fequiere JULIEN,Canaan,,,"7,050",57.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),ARCAHAIE,Nov-16,Joseph Lucien Jura,PHTK,,,"5,225",42.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),ARCAHAIE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CABARET,Nov-16,Joseph Manes LOUIS,Fanmi L,,,"5,489",59.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),CABARET,Nov-16,Pierre Sadrac Fenelus,Renmen A,,,"2,616",28.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),CABARET,Nov-16,Judith Drouillard Benoit,Verite,,,"1,108",12,,
CHAMBER OF DEPUTIES (SECOND ROUND),CABARET,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CITE SOLEIL,Nov-16,Lemaire PIERRE,Renmen A,,,"8,328",83.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),CITE SOLEIL,Nov-16,Almetis J Saint-Fleur,OPL,,,"1,632",16.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),CITE SOLEIL,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CORNILLON,Nov-16,Raymonde RIVAL,APLA,,,"4,810",55.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),CORNILLON,Nov-16,Alphonse Medeus,Verite,,,"3,903",44.8,,
CHAMBER OF DEPUTIES (SECOND ROUND),CORNILLON,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRESSIER,Nov-16,Joseph Antonio VERICAIN,PHTK,,,"5,502",57.8,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRESSIER,Nov-16,Jean Ronald Oscar,KID,,,"4,020",42.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRESSIER,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT-AU-PRINCE (1ERE),Nov-16,Roger MILLIEN,Fanmi L,,,"6,342",36.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT-AU-PRINCE (1ERE),Nov-16,Lucsonne Janvier,Bouclier,,,"5,657",32.3,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT-AU-PRINCE (1ERE),Nov-16,Patrick Severin,Inite,,,"5,501",31.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT-AU-PRINCE (1ERE),Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SUD,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SUD,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CAMP-PERRIN-MANICHE,Nov-16,Bertin AUGUSTIN,Verite,,,"6,465",66.9,,
CHAMBER OF DEPUTIES (SECOND ROUND),CAMP-PERRIN-MANICHE,Nov-16,Jean Wilfrid Lovince,Bouclier,,,"3,195",33.1,,
CHAMBER OF DEPUTIES (SECOND ROUND),CAMP-PERRIN-MANICHE,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SUD EST,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SUD EST,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),COTE-DE-FER,Nov-16,Roudy DEVIL,OPL,,,"6,525",64.3,,
CHAMBER OF DEPUTIES (SECOND ROUND),COTE-DE-FER,Nov-16,Lesly Guirand,PHTK,,,"3,625",35.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),COTE-DE-FER,Nov-16,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),COTE-DE-FER,Nov-16,,,,,,,2015 presidential election,
CHAMBER OF DEPUTIES (SECOND ROUND),COTE-DE-FER,Nov-16,,,,,,,National summary (first round),http://psephos.adam-carr.net/countries/h/haiti/haiti20152.txt
CHAMBER OF DEPUTIES (SECOND ROUND),COTE-DE-FER,Nov-16,,,,,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Eric-Jean Baptiste,MAS,"56,671",3.6,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Irvenson-Steven Benoit,,"17,851",1.1,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Jean-Henry Céant,RA,"39,005",2.5,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Jude Célestin,LAPEH,"394,390",25.3,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Sauveur-Pierre Etienne,OPKL,"30,227",1.9,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Steeve Khawly,,"16,791",1.1,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Jean-Charles Moïse,PPD,"222,646",14.3,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Jovenel Moïse,PHTK,"511,992",32.8,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Maryse Narcisse,FL,"110,049",7.1,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,47 others,,"138,771",8.9,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,Against all,,"22,238",1.4,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,,,,,,,,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,,,,,,,2015 legislative election,
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,,,,,,,Senate election,http://psephos.adam-carr.net/countries/h/haiti/haiti2015senate.txt
PRESIDENTIAL ELECTION,COTE-DE-FER,OCTOBER-DECEMBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,ARTIBONITE,AUGUST AND OCTOBER 2015,YOURI LATORTUE,AAA,"47,005",26.9,ELECTED,,,
LEGISLATIVE ELECTION Senate,ARTIBONITE,AUGUST AND OCTOBER 2015,CARL MURAT CANTAVE,KID,"18,201",10.4,"96,383",53.4,,
LEGISLATIVE ELECTION Senate,ARTIBONITE,AUGUST AND OCTOBER 2015,Jean Willy Jean-Baptiste,AAA,"18,009",10.3,"78,131",43.3,,
LEGISLATIVE ELECTION Senate,ARTIBONITE,AUGUST AND OCTOBER 2015,Levaillant Louis-Jeune,Inite Patriyotik,"11,701",6.7,,,,
LEGISLATIVE ELECTION Senate,ARTIBONITE,AUGUST AND OCTOBER 2015,Jean-Claude Delice,Verite,"10,336",5.9,,,,
LEGISLATIVE ELECTION Senate,ARTIBONITE,AUGUST AND OCTOBER 2015,Michel Chrysostome,Lapeh,"10,102",5.8,,,,
LEGISLATIVE ELECTION Senate,ARTIBONITE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,CENTRE,AUGUST AND OCTOBER 2015,WILLOT JOSEPH,PHTK,"43,491",27.8,ELECTED,,,
LEGISLATIVE ELECTION Senate,CENTRE,AUGUST AND OCTOBER 2015,Wilfrid Gelin,PHTK,"24,647",15.8,,,,
LEGISLATIVE ELECTION Senate,CENTRE,AUGUST AND OCTOBER 2015,Jean Junior Jiha,Bouclier,"19,974",12.8,,,,
LEGISLATIVE ELECTION Senate,CENTRE,AUGUST AND OCTOBER 2015,Gregory Chevry,Lapeh,"14,179",9.1,,,,
LEGISLATIVE ELECTION Senate,CENTRE,AUGUST AND OCTOBER 2015,Joseph Joel Louis,Kontrapepla,"8,126",5.2,,,,
LEGISLATIVE ELECTION Senate,CENTRE,AUGUST AND OCTOBER 2015,19 others,,,,,,,
LEGISLATIVE ELECTION Senate,CENTRE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,GRAND ANSE,AUGUST AND OCTOBER 2015,Guy Philippe,Consortium,"24,648",22.5,,,,
LEGISLATIVE ELECTION Senate,GRAND ANSE,AUGUST AND OCTOBER 2015,Sorel Jacinthe,Inite Patriyotik,"23,890",21.8,,,,
LEGISLATIVE ELECTION Senate,GRAND ANSE,AUGUST AND OCTOBER 2015,Michel Clerie,PHTK,"21,076",19.2,,,,
LEGISLATIVE ELECTION Senate,GRAND ANSE,AUGUST AND OCTOBER 2015,Jean-Maxime Roumer,Bouclier,"9,654",8.8,,,,
LEGISLATIVE ELECTION Senate,GRAND ANSE,AUGUST AND OCTOBER 2015,Carl Antoine,OPL,"8,173",7.5,,,,
LEGISLATIVE ELECTION Senate,GRAND ANSE,AUGUST AND OCTOBER 2015,Jean-Lavaud Frederick,Lapeh,"6,479",5.9,,,,
LEGISLATIVE ELECTION Senate,GRAND ANSE,AUGUST AND OCTOBER 2015,11 others,,,,,,,
LEGISLATIVE ELECTION Senate,GRAND ANSE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,NIPPES,AUGUST AND OCTOBER 2015,Marie Carme Sineas Dumelfort,Verite,"19,697",20.5,"22,856",22.1,,
LEGISLATIVE ELECTION Senate,NIPPES,AUGUST AND OCTOBER 2015,NENEL CASSY,Fanmi Lavalas,"17,289",18,"30,953",30,,
LEGISLATIVE ELECTION Senate,NIPPES,AUGUST AND OCTOBER 2015,FRANCENET DENIUS,Verite,"15,168",15.8,"28,801",27.9,,
